 URAIAN ; ANGGARAN 2021 ; REALISASI 2021 
 BELANJA ; 8.037.470.743.059,00 ; 6.719.024.890.920,75 
 BELANJA OPERASI ; 5.762.438.410.027,92 ; 4.983.150.466.272,76 
 Belanja Pegawai ; 2.329.088.001.109,00 ; 2.105.588.712.918,40 
 Belanja Barang dan Jasa ; 3.134.163.095.080,92 ; 2.634.941.566.554,36 
 Belanja Bunga ; -   ; -   
 Belanja Hibah ; 280.469.463.838,00 ; 228.665.386.800,00 
 Belanja Bantuan Sosial ; 18.717.850.000,00 ; 13.954.800.000,00 
 BELANJA MODAL ; 1.880.880.484.859,08 ; 1.514.465.189.714,92 
 Belanja Modal Tanah ; 39.039.449.999,00 ; 25.312.778.603,00 
 Belanja Modal Peralatan dan Mesin ; 334.116.105.577,00 ; 300.194.204.243,88 
 Belanja Modal Gedung dan Bangunan ; 733.596.872.006,00 ; 537.517.242.268,65 
 Belanja Modal Jalan, Irigasi dan Jaringan ; 760.264.521.227,08 ; 638.222.962.693,39 
 Belanja Modal Aset Tetap Lainnya ; 13.863.536.050,00 ; 13.218.001.906,00 
 BELANJA TAK TERDUGA ; 394.151.848.172,00 ; 221.409.234.933,07 
 Belanja Tak Terduga ; 394.151.848.172,00 ; 221.409.234.933,07 
